"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HS3ST2",3.2593227208776e-19,6.51367042928753,0.553,0.037,1.19294470906841e-14
"MAP3K1",1.21024999077248e-18,4.31391025058371,0.684,0.096,4.42963599122634e-14
"RPS18",9.81917866126908e-18,-2.54292510985422,0.842,0.973,3.5939175818111e-13
"MT2A",1.97373209536196e-17,-3.43335672717081,0.921,0.995,7.2240568422343e-13
"AP003086.1",3.65147356388294e-16,4.88150855333963,0.684,0.117,1.33647583911679e-11
"GRAMD1B",7.53739697354623e-16,4.22994194855448,0.526,0.053,2.75876266628766e-11
"CDCP1",9.11871665983676e-16,5.64530353672774,0.5,0.043,3.33754148466685e-11
"TESK2",1.87995587973199e-15,4.6391907408522,0.579,0.074,6.88082651540705e-11
"PRKCH",2.36760130372569e-15,3.47716698060143,0.632,0.096,8.6656575317664e-11
"RPL12",2.90868974050231e-15,-2.19034900847339,0.737,0.957,1.06460953192125e-10
"GARS-DT",4.0152153760081e-15,2.39828030496389,0.711,0.16,1.46960897977273e-10
"AC087854.1",4.43697754354859e-15,3.36434822649821,0.553,0.069,1.62397815071422e-10
"CBL",4.55717409796648e-15,2.92143024915481,0.789,0.223,1.66797129159671e-10
"RNF111",6.27333060975035e-15,3.14554970530816,0.789,0.239,2.29610173647473e-10
"SYK",9.78456486130152e-15,3.24230758837318,0.684,0.144,3.58124858488497e-10
"PREX1",1.6903705752437e-14,3.38764350914309,0.711,0.165,6.18692534244945e-10
"RPS21",2.02936864341411e-14,-2.10894997182078,0.763,0.931,7.42769217175999e-10
"STARD13-AS",2.15191413053125e-14,3.58738060269909,0.553,0.074,7.87622090915743e-10
"ITPKB",2.22534442692048e-14,4.36443568581151,0.553,0.074,8.14498313697165e-10
"HLA-DQB1",2.26953798902688e-14,4.05607546456373,0.605,0.09,8.30673599363729e-10
"SOGA1",2.81306571104772e-14,3.18581765784612,0.553,0.074,1.02961018090058e-09
"RPL10",2.92153275419797e-14,-1.88555151843727,0.921,0.989,1.069310203364e-09
"SLC5A3",2.95783309620747e-14,4.05781183058437,0.658,0.144,1.0825964915429e-09
"ITPR1",3.03426574329734e-14,3.197210886449,0.763,0.191,1.11057160470426e-09
"RPL37",3.47871420501401e-14,-1.94848460439452,0.789,0.947,1.27324418617718e-09
"TIMP1",4.58898099556395e-14,-2.95440110655413,0.711,0.952,1.67961293418636e-09
"AC119674.1",5.60422278522537e-14,6.31812446557198,0.474,0.053,2.05120158162034e-09
"SUFU",5.88751641697361e-14,3.43444011290729,0.632,0.128,2.15488988377651e-09
"AC004687.1",5.91001250334853e-14,3.72921510654521,0.368,0.016,2.1631236763506e-09
"SLC1A3",8.79683623879605e-14,3.61013414836541,0.711,0.197,3.21973003176174e-09
"EEF1A1",8.99898112378216e-14,-1.66224755863429,0.974,0.989,3.29371708111551e-09
"DDI2",9.67995913083373e-14,2.48038528750009,0.658,0.144,3.54296184147645e-09
"DMXL1",1.29505995409415e-13,2.44742801270918,0.816,0.261,4.74004893798e-09
"GRK3",1.34721582731443e-13,2.89954478402293,0.684,0.154,4.93094464955356e-09
"KDM7A",1.42404982972581e-13,3.45804447379099,0.632,0.144,5.21216478177943e-09
"RPL13",1.63191951313738e-13,-1.53545302926358,0.974,0.989,5.97298861003414e-09
"RPL18A",2.1626700131602e-13,-2.04469812460862,0.816,0.941,7.91558851516766e-09
"CD48",2.21866934118406e-13,2.54449037919381,0.5,0.059,8.1205516556678e-09
"RIN3",2.4617063456914e-13,2.60251688600771,0.789,0.239,9.0100913958651e-09
"TET3",2.80885374555342e-13,3.39806647590424,0.711,0.213,1.02806855941001e-08
"SLA",3.04309161065746e-13,2.78715124412799,0.711,0.176,1.11380196041674e-08
"LINC02099",3.05677063455164e-13,6.14997055777983,0.368,0.021,1.11880861995225e-08
"NCOA6",3.18335566111633e-13,3.21930727035192,0.684,0.186,1.16514000552519e-08
"SLC27A1",3.46691436266276e-13,2.58394635208466,0.579,0.106,1.2689253258782e-08
"ZFYVE26",3.47066589363172e-13,2.48112966098756,0.684,0.176,1.27029842372815e-08
"SNX30",3.57436060149474e-13,1.92660939806577,0.711,0.186,1.30825172375309e-08
"RPL28",3.5942171561227e-13,-1.79339724084662,0.816,0.947,1.31551942131247e-08
"FNIP2",3.65544761530834e-13,3.13152395835332,0.816,0.34,1.33793038167901e-08
"RPS23",3.83169165440773e-13,-1.92544304819894,0.816,0.957,1.40243746242977e-08
"RPL32",4.0352467021336e-13,-1.96145680907207,0.895,0.947,1.47694064544792e-08
"TRIM33",4.33592791377615e-13,2.94709231480593,0.684,0.186,1.58699297572121e-08
"ABR",4.38995442387967e-13,3.34305861759645,0.763,0.261,1.6067672186842e-08
"RPS27",4.58335059113616e-13,-1.66037009831004,0.763,0.963,1.67755214986175e-08
"AVL9",4.93485686469218e-13,2.74320661071438,0.789,0.277,1.80620696104598e-08
"RPL41",5.26832741722476e-13,-1.49975564837529,0.921,0.989,1.92826051797843e-08
"GNAQ",5.6241115059504e-13,2.84314321580034,0.816,0.309,2.05848105229291e-08
"RPS6",5.81618673591352e-13,-1.894214680225,0.842,0.941,2.12878250721171e-08
"DOK3",6.01762277187502e-13,3.48291241154423,0.579,0.101,2.20251011073398e-08
"CORO1C",6.3181107241406e-13,2.20579280925475,0.842,0.34,2.3124917061427e-08
"MYO5A",6.7378057903305e-13,2.63880849448501,0.816,0.293,2.46610429731886e-08
"RPL29",7.57721077616794e-13,-2.14766503619604,0.789,0.91,2.77333491618523e-08
"RPS19",8.91973193963111e-13,-1.62424701658335,0.921,0.973,3.26471108722438e-08
"RPS3",9.613455100065e-13,-2.1266609016787,0.763,0.915,3.51862070117479e-08
"CMTM7",1.02611811343595e-12,3.48837054848284,0.658,0.17,3.75569490698693e-08
"TMSB10",1.03529563241799e-12,-1.39252049350537,0.947,0.979,3.78928554421309e-08
"BACH1",1.13557754842973e-12,2.387210799028,0.842,0.314,4.15632738500766e-08
"RPS12",1.14192164903274e-12,-1.5489870329636,0.895,0.979,4.17954742762472e-08
"IL6R",1.14948959648852e-12,2.87345544633364,0.632,0.149,4.20724687210764e-08
"RPS27A",1.15888358217429e-12,-1.82864163404664,0.895,0.947,4.24162979911611e-08
"ELL",1.17828135940284e-12,3.45391738397343,0.632,0.144,4.31262760355034e-08
"TRAK1",1.19336279482638e-12,2.65634906170401,0.763,0.255,4.36782716534404e-08
"FGD2",1.33688960737478e-12,2.95322114316345,0.553,0.09,4.89314965195244e-08
"RUNX3",1.34061631929267e-12,4.0680774235,0.5,0.069,4.90678979024311e-08
"CHST11",1.50467035214129e-12,3.27448619033228,0.789,0.266,5.50724395587233e-08
"LYST",1.51321231721878e-12,2.74960424471627,0.737,0.239,5.53850840225247e-08
"PFKFB3",1.65717438566904e-12,3.25323368619752,0.711,0.213,6.06542396898724e-08
"KAT6A",1.6897850921108e-12,2.80203931264182,0.763,0.245,6.18478241563474e-08
"HLA-DQA1",1.81505689207073e-12,2.9669948881302,0.421,0.043,6.64328973066807e-08
"LCP2",1.82341178094302e-12,2.80073265018388,0.632,0.133,6.67386945942956e-08
"THEMIS2",1.99149563009535e-12,2.67915101924614,0.605,0.117,7.28907315571198e-08
"RPS14",2.0768104888087e-12,-1.75049112854808,0.868,0.936,7.60133407008873e-08
"ARL17A",2.17556716750318e-12,2.09179979397217,0.5,0.069,7.96279338977839e-08
"AGAP3",2.30069687344919e-12,2.76773148432834,0.684,0.186,8.42078062651138e-08
"COLEC12",2.55073504234299e-12,5.56810787877732,0.368,0.027,9.33594532847959e-08
"TRPM2",2.62520159314852e-12,2.35729531764007,0.553,0.101,9.60850035108289e-08
"STK10",2.65890411856943e-12,1.78977947483865,0.763,0.229,9.73185496437597e-08
"KCNMA1",2.69529201493211e-12,2.66469136743862,0.763,0.261,9.86503830385301e-08
"HAVCR2",2.76925006107241e-12,1.89390107731257,0.658,0.138,1.01357321485311e-07
"TEX2",2.79075990399553e-12,3.25196775314579,0.658,0.17,1.02144603246141e-07
"CPEB2",3.13737698377057e-12,2.6198540315423,0.684,0.191,1.14831134982987e-07
"ANKRD10-IT1",3.24669239870461e-12,3.3322385114127,0.421,0.043,1.18832188484988e-07
"FMNL1",3.43865183435336e-12,3.19561435809306,0.605,0.128,1.25858095789167e-07
"MAP3K3",3.46151474620923e-12,2.32083095657009,0.684,0.191,1.26694901226004e-07
"NFATC3",3.65235524763356e-12,2.75018957862295,0.711,0.202,1.33679854418636e-07
"TBC1D2",3.66422182575796e-12,3.10075921396856,0.684,0.202,1.34114183044567e-07
"MS4A4A",3.69635996893324e-12,2.48288186864519,0.763,0.255,1.35290471222926e-07
"RENBP",3.78371878932441e-12,1.46439738745885,0.579,0.101,1.38487891408063e-07
"RPL39",3.92883833692786e-12,-1.82894500784716,0.842,0.936,1.43799411969897e-07
"RPL34",4.34816802778823e-12,-1.80608401927974,0.842,0.952,1.59147297985077e-07
"ZEB2",4.45963403513231e-12,2.00081538771451,0.842,0.324,1.63227065319878e-07
"BATF",4.47457558964492e-12,4.37738169880896,0.526,0.096,1.63773941156594e-07
"CPM",4.60516161205748e-12,2.94272449381488,0.789,0.34,1.68553520162916e-07
"RPL7A",4.88548887690053e-12,-1.6758013026289,0.842,0.957,1.78813778383436e-07
"DLEU2",4.97382149456031e-12,2.99299969351021,0.737,0.271,1.82046840522402e-07
"RPS15A",5.03614655349432e-12,-1.84778732921919,0.789,0.91,1.84328000004446e-07
"NR6A1",5.11128266515682e-12,2.87734503944719,0.579,0.122,1.87078056827405e-07
"RPL11",5.15984443363142e-12,-1.67034802004689,0.789,0.957,1.88855466115343e-07
"ATG7",5.59972100794253e-12,2.86285876174576,0.763,0.287,2.04955388611705e-07
"CPVL",5.64337095140859e-12,2.98728145458757,0.632,0.165,2.06553020192506e-07
"AGO4",5.73863820280036e-12,3.34531448789933,0.632,0.17,2.10039896860696e-07
"VPS8",6.01268666192767e-12,2.45614610893083,0.737,0.25,2.20070344513215e-07
"RPS7",6.06295169237465e-12,-1.9168096232061,0.763,0.92,2.21910094892605e-07
"RPL35",6.25652100130416e-12,-1.57945850234675,0.842,0.952,2.28994925168733e-07
"ARID3A",6.2677701621459e-12,3.06587651275184,0.605,0.133,2.29406655704702e-07
"STIM1",6.5117834765245e-12,3.06193517493116,0.737,0.213,2.38337787024273e-07
"CCDC88A",6.69694951628153e-12,2.28041936475975,0.842,0.356,2.4511504924542e-07
"B4GALT5",6.89289763977977e-12,2.67521054342366,0.737,0.245,2.5228694651358e-07
"RNF130",6.94913150818334e-12,2.54483409035428,0.816,0.399,2.54345162331018e-07
"AL139260.1",7.13652643341613e-12,3.93822014912443,0.605,0.154,2.61204003989464e-07
"USP24",8.04158925759745e-12,1.38056162123801,0.737,0.213,2.94330208417324e-07
"STX7",8.14564966912803e-12,2.63348973459865,0.763,0.287,2.98138923539755e-07
"STAU2",8.3221468550308e-12,1.91865464199774,0.763,0.25,3.04598897040982e-07
"PHF21A",8.52568219202247e-12,3.01421654648187,0.711,0.218,3.12048493910214e-07
"RPS28",8.68111831226227e-12,-1.4787123404449,0.895,0.963,3.17737611347112e-07
"PIK3AP1",8.80502545300281e-12,3.09357363305513,0.711,0.213,3.22272736605356e-07
"DAPK1",9.10697657821159e-12,2.48066249883134,0.763,0.25,3.33324449739122e-07
"IL17RA",9.31233605608651e-12,2.54859591537013,0.711,0.234,3.40840811988822e-07
"PAG1",9.36096082432388e-12,3.1169522530419,0.658,0.165,3.42620527131078e-07
"RPL26",9.36264941518647e-12,-1.82999551377479,0.789,0.926,3.4268233124524e-07
"AGTPBP1",9.38053117818284e-12,2.49376576297698,0.684,0.191,3.4333682165267e-07
"PDK3",9.66294580488545e-12,2.02453139424901,0.553,0.106,3.53673479404612e-07
"PPP1R21",9.81184725891319e-12,2.83133154111529,0.684,0.202,3.59123421523482e-07
"KMT2E",9.92198239983106e-12,2.42509359947553,0.763,0.287,3.63154477816217e-07
"DOCK11",1.05371110146927e-11,2.70757842479906,0.684,0.202,3.85668800248769e-07
"PICALM",1.07690962291792e-11,2.19803434278485,0.842,0.362,3.94159691084187e-07
"RPL38",1.08313854666885e-11,-1.42284507925404,0.842,0.947,3.96439539466264e-07
"BIN2",1.10589707029219e-11,2.04283008252545,0.553,0.101,4.04769386697646e-07
"TBC1D22A",1.15007897147556e-11,2.6117327381151,0.763,0.282,4.20940404349768e-07
"IL10RA",1.15516581789129e-11,2.79597903506071,0.579,0.112,4.22802241006392e-07
"AC068446.2",1.27431338227527e-11,3.55635200065642,0.289,0.011,4.6641144104657e-07
"UBE4B",1.2862573214635e-11,2.39643606107667,0.711,0.25,4.70783042228856e-07
"KCNE1",1.30400245374469e-11,2.5821089837052,0.632,0.149,4.77277938095095e-07
"RPL17",1.41172641681855e-11,-1.60023617196086,0.842,0.952,5.16705985819758e-07
"HSD17B14",1.44838873513346e-11,2.64579415350308,0.632,0.154,5.30124760946197e-07
"MKLN1",1.45412013931293e-11,2.36173535178854,0.816,0.34,5.32222512189927e-07
"PTK2B",1.58421584624917e-11,3.20822786517615,0.684,0.186,5.79838841885657e-07
"SLC6A6",1.58421584624917e-11,2.94969119699058,0.658,0.191,5.79838841885657e-07
"AL355488.1",1.69526091500223e-11,4.671412569662,0.263,0.005,6.20482447499967e-07
"GNPTAB",1.7421050548257e-11,2.20046362505933,0.737,0.245,6.37627871116755e-07
"RNF13",1.76033050588701e-11,2.73257219810589,0.763,0.309,6.44298568459703e-07
"MT1E",1.83921872887123e-11,-3.34234931775973,0.447,0.84,6.7317244695416e-07
"RPL14",1.87135086540093e-11,-1.69359505442203,0.763,0.926,6.84933130245394e-07
"RPS24",1.91529932496967e-11,-1.31974752254468,0.921,0.973,7.01018705932149e-07
"RPL18",2.01457552239285e-11,-2.01612596499581,0.789,0.894,7.37354786951007e-07
"RPL10A",2.04260015201025e-11,-1.93965387408512,0.737,0.899,7.47612081637272e-07
"NFAT5",2.08327985734927e-11,2.20045344309083,0.763,0.271,7.62501260588406e-07
"FPR3",2.11734563174036e-11,2.64027626565769,0.658,0.176,7.74969674673291e-07
"ARL15",2.20794616549501e-11,2.68215448800565,0.763,0.282,8.08130376032829e-07
"RNF185",2.2556003449079e-11,2.98749932925385,0.579,0.128,8.25572282239741e-07
"C16orf70",2.30704395290098e-11,3.32969914964227,0.579,0.138,8.44401157201287e-07
"PLXNC1",2.3360277429563e-11,2.71846222150336,0.658,0.186,8.55009514199435e-07
"AC020913.1",2.41162032212769e-11,3.09637792439407,0.368,0.032,8.82677154101957e-07
"GAS2L3",2.4249206294534e-11,2.84688520351452,0.553,0.106,8.8754519958624e-07
"RASGRP3",2.56950012617349e-11,2.68715575724728,0.658,0.176,9.40462741180758e-07
"MYCBP2-AS1",2.67043740114937e-11,4.8773918950813,0.447,0.064,9.77406793194681e-07
"MLLT10",2.70675977280162e-11,2.69914932904289,0.737,0.261,9.90701144443122e-07
"COL1A1",2.78696743849936e-11,-4.10476417614757,0.579,0.862,1.02005795216515e-06
"NOTCH1",3.06220966743373e-11,2.88158893345089,0.5,0.08,1.12079936037742e-06
"ANKUB1",3.17118362180355e-11,5.31210074434938,0.632,0.176,1.16068491741632e-06
"NCOA1",3.17754492813884e-11,2.26521680357741,0.737,0.245,1.1630132191481e-06
"AC004951.1",3.24941496088498e-11,1.84392326047449,0.5,0.08,1.18931836983351e-06
"PLEKHA2",3.28011792712005e-11,2.4411349726352,0.684,0.207,1.20055596250521e-06
"KIAA2026",3.32830197332572e-11,2.36882788166605,0.684,0.202,1.21819180525695e-06
"KLHL6",3.36304310911664e-11,3.03661070027215,0.632,0.16,1.23090740836778e-06
"AC010210.1",3.45187933684356e-11,4.48430541135212,0.421,0.053,1.26342235607811e-06
"CD300A",3.72130252998212e-11,2.1354651152548,0.605,0.133,1.36203393899875e-06
"C20orf194",3.93619506298037e-11,2.43612292520349,0.763,0.293,1.44068675500144e-06
"RALGAPB",3.93956089664597e-11,2.12329122868092,0.658,0.197,1.44191868378139e-06
"TBC1D8",3.95700136312049e-11,3.16161478782239,0.684,0.213,1.44830206891573e-06
"TFEC",4.03646450762761e-11,2.1615650372459,0.658,0.17,1.47738637443678e-06
"RPS5",4.0758192492466e-11,-2.15732787724639,0.658,0.856,1.49179060341675e-06
"STX3",4.13135882155198e-11,2.10144878360435,0.658,0.186,1.51211864227624e-06
"IKBKB",4.13581498300093e-11,2.38824829870966,0.605,0.16,1.51374964192817e-06
"RALGDS",4.16647585917889e-11,2.11622155677959,0.605,0.144,1.52497182921807e-06
"FLT1",4.35376006199178e-11,4.0434047968714,0.421,0.053,1.59351972028961e-06
"MGAT5",4.38816754594023e-11,2.06204833675341,0.737,0.25,1.60611320348958e-06
"GAB2",4.57590161249697e-11,2.46383725187389,0.763,0.287,1.67482574919002e-06
"STK4",4.78899602765808e-11,2.10850477711225,0.737,0.25,1.75282043608313e-06
"LGALS1",4.8178008806748e-11,-1.38657080118382,0.895,0.968,1.76336330033579e-06
"SETDB1",4.85518941954194e-11,2.37516037120779,0.526,0.101,1.77704787944655e-06
"RRAGD",5.08769913117599e-11,2.74879681596394,0.632,0.181,1.86214875900172e-06
"FGR",5.08784939401692e-11,2.11270424748213,0.658,0.165,1.86220375670413e-06
"KCNAB2",5.59210117694665e-11,1.6282092800824,0.711,0.197,2.04676495177424e-06
"FN1",5.88506676644803e-11,-2.55559104394448,0.921,0.957,2.15399328718764e-06
"RPL5",5.88817622135277e-11,-1.70497180984302,0.842,0.915,2.15513137877733e-06
"TMEM170B",5.90736179310667e-11,4.16847684180394,0.447,0.069,2.16215348989497e-06
"SORT1",5.99006278412682e-11,2.74440645147099,0.658,0.207,2.19242287961826e-06
"FIG4",6.09880649060197e-11,2.87495618922467,0.605,0.154,2.23222416362523e-06
"PLPP3",6.21829571037464e-11,3.76889569145199,0.658,0.223,2.27595841295422e-06
"SPOPL",6.54730160125664e-11,2.84234777960563,0.632,0.165,2.39637785907594e-06
"RAF1",6.59197119422371e-11,1.42923497181145,0.737,0.261,2.41272737679782e-06
"DYRK1A",6.68968400280654e-11,2.73077324401956,0.763,0.287,2.44849124186722e-06
"PTPRE",6.82747709580222e-11,2.44169361692399,0.684,0.213,2.49892489183457e-06
"FAM126B",6.95718562639243e-11,2.78496366587054,0.579,0.138,2.54639951111589e-06
"PIK3CD",7.22140218198506e-11,2.42518359887948,0.526,0.106,2.64310541262835e-06
"AFTPH",7.30293328404754e-11,2.56712281242136,0.711,0.223,2.67294661129424e-06
"TRIM56",7.30591177194419e-11,1.60117682385472,0.684,0.213,2.67403676764929e-06
"RPL30",7.43544730316649e-11,-1.79114591848483,0.789,0.92,2.72144806743197e-06
"ZDHHC20",8.1581260721221e-11,1.78886243095896,0.789,0.298,2.98595572365741e-06
"RELCH",8.87024642123997e-11,3.03969491353954,0.632,0.176,3.24659889263804e-06
"MAP3K2",9.19766298883803e-11,1.78736272110331,0.816,0.34,3.36643663054461e-06
"LRCH1",9.45293263961782e-11,3.10755416968836,0.632,0.197,3.45986787542652e-06
"PIK3R5",9.56956378387782e-11,2.83415313656292,0.684,0.213,3.50255604053712e-06
"MYO9B",9.68034157393265e-11,2.3257576957563,0.763,0.319,3.54310181947509e-06
"CMIP",9.68545740865447e-11,2.22393570663837,0.737,0.271,3.54497426614162e-06
"SLC25A25",9.80107019712931e-11,3.07407861615297,0.579,0.144,3.5872897028513e-06
"HECA",9.82377441363499e-11,2.30266679185207,0.684,0.191,3.59559967313454e-06
"USP3",9.98530264652432e-11,1.96424722863003,0.789,0.319,3.65472062165437e-06
"ZFYVE28",1.00922746020544e-10,2.71921386833118,0.553,0.128,3.69387342709793e-06
"PSMA3-AS1",1.01791469054634e-10,2.21209613332305,0.684,0.218,3.72566955886865e-06
"GAPDH",1.02736389489299e-10,-1.74570013931568,0.921,0.936,3.76025459169785e-06
"AC023509.6",1.0276474639113e-10,2.49972150678883,0.526,0.106,3.76129248266174e-06
"PHACTR1",1.03304844792095e-10,3.07328934534409,0.632,0.181,3.78106062423548e-06
"RPLP1",1.09099639811723e-10,-1.1511671770708,0.974,0.989,3.99315591674887e-06
"RPLP0",1.13195300808617e-10,-1.5718310094389,0.842,0.92,4.14306120489619e-06
"CTBP2",1.18846522652606e-10,2.7829333831226,0.711,0.25,4.34990157560804e-06
"USP31",1.22372999811059e-10,2.57259818060301,0.5,0.096,4.47897416608456e-06
"MYO1F",1.2344723136467e-10,1.93467965740495,0.684,0.191,4.51829211517829e-06
"CAB39",1.24349194295223e-10,1.9899845412953,0.763,0.293,4.55130486039947e-06
"NPIPB4",1.26862292538909e-10,3.30225303087618,0.526,0.112,4.64328676921659e-06
"SPPL3",1.29280939936203e-10,2.36962638258707,0.711,0.245,4.73181168260497e-06
"CPB2-AS1",1.3389628270047e-10,4.16869281848821,0.474,0.085,4.90073784311989e-06
"LCORL",1.35749703040312e-10,2.33645800354801,0.737,0.255,4.96857488097845e-06
"MED13",1.38798560225296e-10,1.90629338995548,0.763,0.309,5.08016610280606e-06
"MCOLN3",1.4112515198199e-10,3.7607956471361,0.395,0.048,5.16532168769281e-06
"RGL1",1.41441200726966e-10,3.15603774342069,0.658,0.218,5.17688938780766e-06
"RPS2",1.42530254517174e-10,-1.39579541332376,0.974,0.957,5.21674984558307e-06
"KANSL1L",1.51739039194082e-10,2.60065637387248,0.684,0.218,5.5538005735426e-06
"TRPM7",1.67399740583392e-10,1.92670925046281,0.789,0.33,6.12699790509273e-06
"AC006001.2",1.68640528606402e-10,2.07305590940596,0.632,0.191,6.1724119875229e-06
"ST14",1.69632982630262e-10,1.63019587203594,0.684,0.191,6.20873679725022e-06
"SMG1",1.73599053925984e-10,1.97738004696973,0.789,0.303,6.35389897274493e-06
"PPTC7",1.73647463404985e-10,2.5110166952347,0.605,0.16,6.35567080808586e-06
"AL138999.2",1.77897175191337e-10,1.65233747119355,0.342,0.027,6.51121450917814e-06
"ARHGAP25",1.80642499602162e-10,2.36174365290016,0.526,0.106,6.61169612793873e-06
"STARD13",1.80670970288216e-10,2.49125569822807,0.711,0.261,6.61273818351898e-06
"KDM3B",1.80726714952103e-10,1.46021471193803,0.763,0.261,6.61477849396193e-06
"ATP11A",1.8099055416348e-10,1.88244709479951,0.684,0.218,6.62443527293753e-06
"RPL27",1.89653463906721e-10,-1.89857490655476,0.684,0.856,6.9415064324499e-06
"BPTF",1.9175551374883e-10,1.96903463134776,0.816,0.319,7.01844355872094e-06
"CLASP1",1.97663144300431e-10,2.49114048976037,0.711,0.277,7.23466874454008e-06
"PHIP",1.9827148461254e-10,1.96756130942484,0.763,0.271,7.25693460830356e-06
"ACAP2",1.991156017345e-10,1.89435899354865,0.789,0.372,7.28783013908444e-06
"AC084198.2",2.00571459708665e-10,3.64325185707686,0.289,0.016,7.34111599679686e-06
"RPL37A",2.01241819025272e-10,-1.3291443170942,0.868,0.963,7.36565181814398e-06
"TMEM51",2.04851125526843e-10,2.32112419901394,0.684,0.207,7.497756045408e-06
"DCP2",2.06477257004175e-10,2.95655498999921,0.658,0.223,7.5572740836098e-06
"SLC39A11",2.06692686051447e-10,3.05531521669567,0.711,0.287,7.56515900216901e-06
"RPL23A",2.0832102761759e-10,-1.56991322725577,0.711,0.91,7.62475793183141e-06
"SEMA6A-AS1",2.18561190147143e-10,3.84616549029978,0.447,0.069,7.99955812057557e-06
"SLC36A1",2.27470165350425e-10,2.51975356685109,0.632,0.181,8.32563552199091e-06
"OSBPL3",2.28816348078289e-10,2.94207950693051,0.658,0.213,8.37490715601347e-06
"PDS5A",2.30226642303467e-10,1.97788193577092,0.789,0.33,8.42652533494918e-06
"RPL35A",2.40568705076252e-10,-1.71700495214695,0.789,0.91,8.80505517449591e-06
"AL117336.2",2.41848534845894e-10,3.63725994004171,0.263,0.011,8.85189822389456e-06
"AGPAT4",2.4463876329817e-10,2.88116151169802,0.658,0.202,8.95402337547633e-06
"DOP1B",2.45042708967988e-10,1.91726157354009,0.711,0.239,8.96880819093732e-06
"ALS2",2.46817645758818e-10,2.60444952196506,0.526,0.122,9.03377265241849e-06
"RREB1",2.47895484862367e-10,2.72319492588514,0.684,0.255,9.07322264144751e-06
"RPS26",2.52038412361833e-10,-1.71472558779647,0.842,0.92,9.22485793085544e-06
"KIF16B",2.54396084913809e-10,2.7483635856201,0.632,0.202,9.31115110393031e-06
"SRGAP2C",2.55206462319606e-10,3.03025768802716,0.632,0.186,9.34081172735988e-06
"MROH1",2.55512794574071e-10,2.25557109746316,0.658,0.213,9.35202379420559e-06
"PLA2G7",2.64093716980804e-10,1.99338220593675,0.658,0.176,9.6660941352144e-06
"ARID1A",2.66379808436959e-10,2.66139839464081,0.737,0.287,9.74976736860114e-06
"RPL19",2.73431611706629e-10,-1.50550457328051,0.868,0.92,1.00078704200743e-05
"TNS3",2.75086691721886e-10,2.13134872561271,0.816,0.346,1.00684480037128e-05
"PCNX1",2.75648247320351e-10,2.32343120011029,0.737,0.282,1.00890015001722e-05
"HERC1",2.77011047569861e-10,2.28260522249545,0.737,0.266,1.01388813521045e-05
"ASMTL-AS1",2.77425265086364e-10,3.14423917982884,0.342,0.032,1.0154042127426e-05
"ARID4A",2.928196012986e-10,2.33353918805195,0.684,0.218,1.07174902271301e-05
"PIK3CA",3.04064131152909e-10,1.55866333020415,0.711,0.271,1.11290512643276e-05
"DCAF7",3.07718313744506e-10,2.10328696182267,0.711,0.255,1.12627980013627e-05
"MTMR3",3.16552413023373e-10,1.3685141021751,0.711,0.245,1.15861348690685e-05
"WDFY1",3.24939246633627e-10,2.07779589885248,0.711,0.261,1.18931013660374e-05
"RAB7A",3.30935354412501e-10,1.9436542944521,0.842,0.479,1.21125649068519e-05
"RPS8",3.31667958728439e-10,-1.57037438742246,0.868,0.92,1.21393789574196e-05
"HSPBAP1",3.32486737181043e-10,2.92852882621839,0.579,0.154,1.21693470675633e-05
"PRR14L",3.47746597607507e-10,2.10480456761725,0.737,0.266,1.27278732190324e-05
"ATF6",3.52022441374805e-10,1.69908837841012,0.763,0.293,1.28843733767592e-05
"CLCN6",3.52307703630556e-10,1.58489480076884,0.579,0.16,1.2894814260582e-05
"LRIG2",3.5629327170869e-10,2.68126247693503,0.553,0.138,1.30406900378098e-05
"FAM222B",3.577834758205e-10,2.31970123608141,0.605,0.165,1.30952329985061e-05
"CELF2",3.69919523215302e-10,2.13153573728495,0.737,0.266,1.35394244692033e-05
"EPG5",3.70954818736909e-10,2.20748414133541,0.605,0.16,1.35773173205896e-05
"HIPK3",3.72721818450007e-10,2.08612325631448,0.763,0.309,1.36419912770887e-05
"SPIDR",3.79959288912144e-10,2.13261393417909,0.789,0.314,1.39068899334734e-05
"MFSD14B",3.80068840578195e-10,2.39043046095709,0.632,0.202,1.39108996340025e-05
"FCHO2",3.81724698256955e-10,2.4323367069092,0.789,0.346,1.39715056809028e-05
"RPL36",3.83689572649959e-10,-1.75036762187376,0.868,0.883,1.40434220485611e-05
"SOS1",3.84583260569204e-10,2.42933720777634,0.763,0.298,1.40761319200934e-05
"TTC7B",3.9671987222922e-10,1.92343404039058,0.579,0.138,1.45203440434617e-05
"NUMB",4.04937229640604e-10,2.19081954159955,0.789,0.367,1.48211075420758e-05
"FRYL",4.08270012297989e-10,1.8635379350315,0.737,0.287,1.49430907201187e-05
"ZZEF1",4.2132564534287e-10,2.1950937701003,0.711,0.229,1.54209399451944e-05
"CCDC84",4.23206064559079e-10,2.97199564305059,0.553,0.138,1.54897651689269e-05
"GPNMB",4.31883414293336e-10,2.2641248000824,0.789,0.473,1.58073648465504e-05
"ERBIN",4.3366407370947e-10,2.47020827160978,0.737,0.303,1.58725387618403e-05
"NEK6",4.38977821545393e-10,2.15098488243374,0.737,0.255,1.60670272463829e-05
